time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609043649.86841154,0.01157152,0.00242249,0.00000619,2898.00000000,0.01364902,0.000000,0.000000
1609043649.96227169,0.01142880,0.00092096,0.00000229,2925.00000000,0.00500626,0.000000,0.000000
1609043650.05752301,0.01138057,0.00183031,0.00000407,2918.00000000,0.00916223,0.000000,0.000000
1609043650.16854191,0.01159234,0.00469986,0.00001023,2934.00000000,0.02154516,0.000000,0.000000
1609043650.26220369,0.01146959,0.00103866,0.00000252,2961.00000000,0.00557759,0.000000,0.000000
1609043650.35748529,0.01149796,0.00234215,0.00000586,2957.00000000,0.01288812,0.000000,0.000000
1609043650.46875119,0.01149127,0.00234021,0.00000544,2955.00000000,0.01115683,0.000000,0.000000
1609043650.56221175,0.01145590,0.00176087,0.00000448,2890.00000000,0.00965205,0.000000,0.000000
1609043650.65741849,0.01138829,0.00144777,0.00000363,2917.00000000,0.00787280,0.000000,0.000000
1609043650.76827145,0.01141240,0.00211508,0.00000552,2907.00000000,0.01269028,0.000000,0.000000
1609043650.86217880,0.01130833,0.00102043,0.00000262,2939.00000000,0.00568855,0.000000,0.000000
1609043650.95724726,0.01141962,0.00327157,0.00000810,2941.00000000,0.01754054,0.000000,0.000000
1609043651.06847048,0.01137296,0.00153885,0.00000380,2961.00000000,0.00875967,0.000000,0.000000
1609043651.16246963,0.01138391,0.00222235,0.00000559,2992.00000000,0.01200835,0.000000,0.000000
1609043651.25745487,0.01130706,0.00127313,0.00000311,2951.00000000,0.00684940,0.000000,0.000000
1609043651.36861277,0.01129359,0.00197682,0.00000478,2969.00000000,0.01049901,0.000000,0.000000
1609043651.46218729,0.01125945,0.00161904,0.00000421,2949.00000000,0.00921131,0.000000,0.000000
1609043651.55730391,0.01119904,0.00146839,0.00000335,2953.00000000,0.00751372,0.000000,0.000000
1609043651.66811490,0.01122201,0.00247258,0.00000614,2897.00000000,0.01264622,0.000000,0.000000
1609043651.76206064,0.01114102,0.00106777,0.00000274,2898.00000000,0.00603851,0.000000,0.000000
1609043651.85735297,0.01128306,0.00398579,0.00000986,2923.00000000,0.02037350,0.000000,0.000000
1609043651.96831059,0.01144860,0.00398958,0.00001004,2949.00000000,0.02220869,0.000000,0.000000
1609043652.06216693,0.01139382,0.00130957,0.00000366,2983.00000000,0.00777864,0.000000,0.000000
1609043652.15770531,0.01130429,0.00092970,0.00000246,2997.00000000,0.00530556,0.000000,0.000000
1609043652.26984000,0.01131144,0.00208211,0.00000535,2993.00000000,0.01179792,0.000000,0.000000
1609043652.36383605,0.01130158,0.00215857,0.00000470,2998.00000000,0.01062107,0.000000,0.000000
1609043652.45746160,0.01121390,0.00088616,0.00000231,3002.00000000,0.00507637,0.000000,0.000000
1609043652.56996226,0.01136666,0.00406862,0.00001006,3019.00000000,0.02221244,0.000000,0.000000
1609043652.66384816,0.01128453,0.00094248,0.00000244,3023.00000000,0.00537157,0.000000,0.000000
1609043652.75758600,0.01128954,0.00211868,0.00000534,3031.00000000,0.01165516,0.000000,0.000000
1609043652.87113142,0.01127053,0.00179203,0.00000444,3057.00000000,0.00986357,0.000000,0.000000
1609043652.96347523,0.01126980,0.00210836,0.00000504,3051.00000000,0.01121547,0.000000,0.000000
1609043653.05811501,0.01124994,0.00209423,0.00000464,3051.00000000,0.00974045,0.000000,0.000000
1609043653.16954565,0.01138451,0.00401688,0.00000983,3004.00000000,0.02174607,0.000000,0.000000
1609043653.26329732,0.01132776,0.00128831,0.00000314,3037.00000000,0.00690144,0.000000,0.000000
1609043653.35756540,0.01132296,0.00194993,0.00000500,3051.00000000,0.01094338,0.000000,0.000000
1609043653.47063923,0.01128600,0.00148965,0.00000383,3067.00000000,0.00832921,0.000000,0.000000
1609043653.56330752,0.01124998,0.00138835,0.00000351,3076.00000000,0.00833272,0.000000,0.000000
1609043653.65711331,0.01118712,0.00114402,0.00000268,3083.00000000,0.00603259,0.000000,0.000000
1609043653.75752544,0.01123445,0.00308268,0.00000676,3106.00000000,0.01516293,0.000000,0.000000
