#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
36.000000,155.619562,0.000000,-0.109097,0.000000,-0.015236,0.000000,0.999884,155.617220,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
37.000000,168.948041,0.000000,-0.050740,0.000000,-0.017009,0.000000,0.999855,168.946028,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
38.000000,183.016555,0.000000,0.004007,0.000000,-0.018187,0.000000,0.999835,183.014987,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
39.000000,197.845200,0.000000,0.053729,0.000000,-0.018795,0.000000,0.999823,197.844096,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
40.000000,213.454050,0.000000,0.097250,0.000000,-0.018872,0.000000,0.999822,213.453355,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
41.000000,229.863156,0.000000,0.133706,0.000000,-0.018473,0.000000,0.999829,229.862764,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
42.000000,247.092542,0.000000,0.162579,0.000000,-0.017665,0.000000,0.999844,247.092323,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
43.000000,265.162208,0.000000,0.183703,0.000000,-0.016524,0.000000,0.999863,265.162032,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
44.000000,284.092138,0.000000,0.197233,0.000000,-0.015127,0.000000,0.999886,284.091891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
45.000000,303.902300,0.000000,0.203592,0.000000,-0.013550,0.000000,0.999908,303.901899,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
46.000000,324.612663,0.000000,0.203401,0.000000,-0.011865,0.000000,0.999930,324.612058,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47.000000,346.243191,0.000000,0.197422,0.000000,-0.010134,0.000000,0.999949,346.242367,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48.000000,368.813857,0.000000,0.186495,0.000000,-0.008413,0.000000,0.999965,368.812826,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49.000000,392.344636,0.000000,0.171500,0.000000,-0.006748,0.000000,0.999977,392.343435,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50.000000,416.855515,0.000000,0.153321,0.000000,-0.005177,0.000000,0.999987,416.854194,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51.000000,442.366487,0.000000,0.132823,0.000000,-0.003730,0.000000,0.999993,442.365103,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52.000000,468.897551,0.000000,0.110840,0.000000,-0.002430,0.000000,0.999997,468.896162,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53.000000,496.468712,0.000000,0.088157,0.000000,-0.001294,0.000000,0.999999,496.467370,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
54.000000,525.099980,0.000000,0.065502,0.000000,-0.000332,0.000000,1.000000,525.098729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
55.000000,554.811365,0.000000,0.043529,0.000000,0.000453,0.000000,1.000000,554.810238,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
56.000000,585.622880,0.000000,0.022814,0.000000,0.001059,0.000000,0.999999,585.621897,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
57.000000,617.554537,0.000000,0.003840,0.000000,0.001495,0.000000,0.999999,617.553706,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
58.000000,650.626346,0.000000,-0.013008,0.000000,0.001768,0.000000,0.999998,650.625665,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
59.000000,684.858314,0.000000,-0.027452,0.000000,0.001893,0.000000,0.999998,684.857774,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
60.000000,720.270446,0.000000,-0.039314,0.000000,0.001887,0.000000,0.999998,720.270033,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
61.000000,756.882745,0.000000,-0.048522,0.000000,0.001768,0.000000,0.999998,756.882441,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
62.000000,794.715211,0.000000,-0.055095,0.000000,0.001555,0.000000,0.999999,794.715000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
63.000000,833.787843,0.000000,-0.059136,0.000000,0.001270,0.000000,0.999999,833.787709,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
64.000000,874.120638,0.000000,-0.060819,0.000000,0.000932,0.000000,1.000000,874.120568,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
65.000000,915.733594,0.000000,-0.060376,0.000000,0.000560,0.000000,1.000000,915.733577,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
66.000000,958.646707,0.000000,-0.058079,0.000000,0.000172,0.000000,1.000000,958.646736,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
67.000000,1002.879975,0.000000,-0.054231,0.000000,-0.000215,0.000000,1.000000,1002.880045,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
68.000000,1048.453395,0.000000,-0.049149,0.000000,-0.000590,0.000000,1.000000,1048.453504,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
69.000000,1095.386967,0.000000,-0.043154,0.000000,-0.000939,0.000000,1.000000,1095.387112,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
